Date,AAPL,GOOGL
2005-11-04,7.859136,195.410416
2005-11-07,7.740897,197.71270800000002
2005-11-08,7.698486,195.145142
2005-11-09,7.725473,189.764771
2005-11-10,7.8629929999999995,195.745743
2005-11-11,7.909263,195.395401
2005-11-14,7.897695,198.683685
2005-11-15,8.004368,196.59660300000002
2005-11-16,8.347524,199.274277
2005-11-17,8.292256,201.926926
2005-11-18,8.2974,200.305298
2005-11-21,8.348809,204.884888
2005-11-22,8.549302,208.443451
2005-11-23,8.625131,211.64164700000003
2005-11-25,8.911736,214.524521
2005-11-28,8.952862,211.95195
2005-11-29,8.752367999999999,201.97197
2005-11-30,8.716380000000001,202.657654
2005-12-01,9.202195,207.252258
2005-12-02,9.334575,209.059052
2005-12-05,9.230472,203.128128
2005-12-06,9.517071000000001,202.472473
2005-12-07,9.504222,202.31231699999998
2005-12-08,9.520932,205.53053300000002
2005-12-09,9.553061,204.80481
2005-12-12,9.627605,206.511505
2005-12-13,9.636603,208.953949
2005-12-14,9.25489,209.689697
2005-12-15,9.276739,211.486481
2005-12-16,9.13922,215.29028300000002
2005-12-19,9.173922,212.51251200000002
2005-12-20,9.267743,215.085083
2005-12-21,9.446386,213.378372
2005-12-22,9.513218,216.23623700000002
2005-12-23,9.427111,215.680679
2005-12-27,9.540208,212.53253199999997
2005-12-28,9.455384,213.558563
2005-12-29,9.182919,210.28527799999998
2005-12-30,9.239469999999999,207.63763400000002
2006-01-03,9.607041,217.83284
2006-01-04,9.635316,222.84285
2006-01-05,9.559486,225.84583999999998
2006-01-06,9.806251,233.063065
2006-01-09,9.774118,233.683685
2006-01-10,10.392313,235.115112
2006-01-11,10.783021000000002,236.05105600000002
2006-01-12,10.833144,232.04704300000003
2006-01-13,11.000223,233.35835299999997
2006-01-17,10.887124,233.78878799999998
2006-01-18,10.601804,222.677673
2006-01-19,10.158401,218.44345099999998
2006-01-20,9.779263,199.929932
2006-01-23,9.982324,213.963959
2006-01-24,9.772834,221.73674
2006-01-25,9.536354,216.716721
2006-01-26,9.296016,217.35235600000001
2006-01-27,9.25746,216.96196
2006-01-30,9.639173,213.623627
2006-01-31,9.704719,216.54653900000002
2006-02-01,9.69315,201.091095
2006-02-02,9.266457,198.21821599999998
2006-02-03,9.234325,190.965973
2006-02-06,8.649549,192.742737
2006-02-07,8.688107,184.14415
2006-02-08,8.84362,184.72473100000002
2006-02-09,8.347524,179.56456
2006-02-10,8.650836,181.486481
2006-02-13,8.316678,173.023026
2006-02-14,8.693247999999999,171.83183300000002
2006-02-15,8.896312,171.36135900000002
2006-02-16,9.069818,183.413406
2006-02-17,9.03383,184.55955500000002
2006-02-21,8.878318,183.478485
2006-02-22,9.166209,182.927933
2006-02-23,9.221475,189.224228
2006-02-24,9.184205,188.88888500000002
2006-02-27,9.123797,195.385391
2006-02-28,8.802491999999999,181.491486
2006-03-01,8.880892,182.582581
2006-03-02,8.946438,188.413406
2006-03-03,8.703529,189.279282
2006-03-06,8.41564,184.23423799999998
2006-03-07,8.522313,182.40741
2006-03-08,8.438775,177.11711100000002
2006-03-09,8.216429,171.671677
2006-03-10,8.121322,168.918915
2006-03-13,8.441344,168.6987
2006-03-14,8.65212,175.755753
2006-03-15,8.512030000000001,172.422424
2006-03-16,8.265269,169.55455
2006-03-17,8.310252,170.06506299999998
2006-03-20,8.22414,174.269272
2006-03-21,7.943963,170.13012700000002
2006-03-22,7.9259699999999995,170.280273
2006-03-23,7.731897999999999,171.116119
2006-03-24,7.706197,183.083084
2006-03-27,7.648363000000001,185.030029
2006-03-28,7.5455429999999994,188.78878799999998
2006-03-29,8.010794,197.68768300000002
2006-03-30,8.064775,194.414413
2006-03-31,8.060918,195.19519
2006-04-03,8.051922,195.045044
2006-04-04,7.861708999999999,202.372375
2006-04-05,8.637982000000001,204.199203
2006-04-06,9.155930999999999,205.795792
2006-04-07,8.969571,203.283279
2006-04-10,8.825626,208.398392
2006-04-11,8.738233000000001,205.035034
2006-04-12,8.573723,204.679672
2006-04-13,8.542875,201.281281
2006-04-17,8.32953,203.613617
2006-04-18,8.510746000000001,202.322327
2006-04-19,8.437489,205.45546000000002
2006-04-20,8.691964,207.707703
2006-04-21,8.616132,218.76876800000002
2006-04-24,8.450339999999999,220.47047400000002
2006-04-25,8.504319,213.79379300000002
2006-04-26,8.758796,213.198196
2006-04-27,8.914307,210.22522
2006-04-28,9.046682,209.17918400000002
2006-05-01,8.94515,199.649643
2006-05-02,9.204763999999999,197.59759499999998
2006-05-03,9.143073,197.282288
2006-05-04,9.141791,197.57257099999998
2006-05-05,9.239469999999999,197.347351
2006-05-08,9.239469999999999,197.58758500000002
2006-05-09,9.128938,204.604599
2006-05-10,9.073674,201.691696
2006-05-11,8.758796,193.693695
2006-05-12,8.70096,187.252258
2006-05-15,8.712524,188.288284
2006-05-16,8.351379,185.835831
2006-05-17,8.387362,187.43743899999998
2006-05-18,8.120037,185.680679
2006-05-19,8.290973,185.19519
2006-05-22,8.145743,185.66066
2006-05-23,8.116183,187.977982
2006-05-24,8.140603,190.815811
2006-05-25,8.267837,191.686691
2006-05-26,8.167589999999999,190.86586
2006-05-30,7.868133,186.156158
2006-05-31,7.681777,186.0961
2006-06-01,7.99023,191.501495
2006-06-02,7.924685,189.90991200000002
2006-06-05,7.711336999999999,187.40741
2006-06-06,7.675352,195.190186
2006-06-07,7.526264,193.448456
2006-06-08,7.809015,196.846848
2006-06-09,7.613658999999999,193.478485
2006-06-12,7.3257710000000005,190.96096799999998
2006-06-13,7.496706,193.453461
2006-06-14,7.404167999999999,192.38738999999998
2006-06-15,7.631653999999999,195.695694
2006-06-16,7.397742999999999,195.545547
2006-06-19,7.351475,194.264267
2006-06-20,7.386177,193.77877800000002
2006-06-21,7.4363,201.266266
2006-06-22,7.657358,200.175171
2006-06-23,7.560967,202.632629
2006-06-26,7.581532000000001,202.31231699999998
2006-06-27,7.381035000000001,201.36135900000002
2006-06-28,7.199818,203.258255
2006-06-29,7.578958999999999,209.11411999999999
2006-06-30,7.360472,209.87487799999997
2006-07-03,7.447867,211.811813
2006-07-05,7.3257710000000005,210.940948
2006-07-06,7.167689,211.80680800000002
2006-07-07,7.120133999999999,210.43544
2006-07-10,7.068726,209.309311
2006-07-11,7.152266,212.49249300000002
2006-07-12,6.806539999999999,208.833832
2006-07-13,6.7152899999999995,204.61961399999998
